text,language
D'autre part est tornez et tint tout a folage.,Old French
A l'issue du regne passerent un marage;,Old French
"Aprés icelle terre trouverent plus sauvage,",Old French
L'escripture l'apelle la contree de Trage.,Old French
"Trage fu en mi leu, une cité ombrage,",Old French
Et sist seur une roche el destroit d'un passage.,Old French
"La gent est felonnesse et fiere comme rage,",Old French
"Et responnent au roy orgueil et grant outrage,",Old French
Et ne prisent ne lui ne sa gent un fromage.,Old French
Alixandres en jure touz ceus de son lignage,Old French
"Que mar ont contre lui essaucié leur parage,",Old French
Par temps leur couvendra mostrer lor vasselage;,Old French
Dont les assaillent Greu s'en font si grant domage,Old French
"C'onques ne leur lessierent fermeté ne estage,",Old French
Bien ont fet aus felons comparer leur outrage.,Old French
De la cité,Old French
"de Trage s'est bien li roys vengiez,",Old French
Les tours a abatues et les murs peçoiez.,Old French
"Emenidus d'Arcage s'i est mout bien aidiez,",Old French
"Licanor et Danz Clins, Tholomer li proisiez.",Old French
Des douze pers de Grece fu li regnes cerchiez;,Old French
Ou treuvent forterece ne haus murs batailliez,Old French
"Ne fort baille environ ne granz fossez trenchiez,",Old French
"Tout prennent et abatent, n'en i remaint uns piez.",Old French
"Quant les ot Alixandres destruiz et escilliez,",Old French
A sa tente de paile est li roys repairiez;,Old French
"De l'assaut de la ville fu forment travailliez,",Old French
"Auques en estoit mornes, penssiz et mauhetiez,",Old French
Seur un fautre de paile s'est un petit couchiez.,Old French
"Ses disners, quant vint l'eure, fu bien apareilliez;",Old French
"Au mengier sont assiz, assez i ot daintiez.",Old French
"Uns harperes de Trage s'est du roy aprochiez,",Old French
"De lais fere a fleütes ert duis et enseigniez,",Old French
Sous ciel n'a instrument dont ne fust affetiez;,Old French
"Par son savoir s'est tant d'Alixandre acointiez,",Old French
"Ançois que il s'en tort, en sera bien paiez.",Old French
Devant le tref,Old French
le roy s'est li harpiere assiz,Old French
"Et commença un lai que il ot bien apris,",Old French
De la harpe aus fleütes ainz ne fu entrepris;,Old French
Mout fu bien escoutez d'Alixandre et des Gris.,Old French
"Quant li roys ot mengié, si l'a a reison mis.",Old French
"""Di, va, dist Alixandres, dont es? de quel païs?""",Old French
"Li herpierres respont: ""Sire, tu as mespris;",Old French
"Je sui uns chevaliers, povres et de bas pris,",Old French
De celle gaste ville touz estrez et naïz,Old French
Que tu as hui destruite et le regne conquis;,Old French
"Hier avoie je auques, mes or sui je aquis.",Old French
"Et tu dis: 'De quel terre?' Merveilles as enquis.""",Old French
"Quant l'entent Alixandres, si en a fet un ris.",Old French
"""Par mon chief, dist li roys, a parole m'as pris.",Old French
"Se tu es d'avoir povres, tu avraz biaus amis;",Old French
"Vien avant, sanz-demeure, que je t'en revestis",Old French
De la cité de Trage et de tout le païz;,Old French
Ja n'en perdraz plain pié tant com je soie vis;,Old French
"Ne ne m'en tornerai, de ce soies touz fis,",Old French
Si ert aussi pueplee com ert hui a uit dis,Old French
"Et seront redrecié li mur de mabre bis.""",Old French
"Et cil li respondi: ""Sire, cinc cens mercis.""",Old French
"Devant lui s'ajenoille, li roys poësteïz",Old French
Li a donné la terre par son peliçon gris.,Old French
Quant li roys,Old French
"ot la ville au harpeeur donnee,",Old French
Onques ne s'en torna tant que il l'ot pueplee,Old French
Et trestoute environ autresi bien muree,Old French
Comme elle ert devant ce que elle fust gastee.,Old French
Lors s'en torne Alixandres si passe la contree,Old French
Vers le regne de Sire a sa voie tornee;,Old French
Ce estoit une terre garnie et asazee.,Old French
"Toute la gent du regne est contre lui alee,",Old French
"Richece et seignorie li ont bien presentee,",Old French
"Et li roys mout les aime et forment li agree,",Old French
L'onour qu'il li ont fete lor a guerredonnee.,Old French
Li roys en est,Old French
"entrez en Sire la garnie,",Old French
Qui depart celle terre et celle de Persie.,Old French
"Encore n'estoit pas Anthioche bastie,",Old French
"Qu'Antiocus fist puis par mout grant seignorie,",Old French
"Car li roys Alixandres l'en donna la baillie,",Old French
Qui li fist de son regne en la fin grant partie.,Old French
La terre treuvent riche et mout bien replanie,Old French
De mout bonnes vitailles et de grant manantie.,Old French
Toute la gent du regne envers lui s'umelie,Old French
Et li roys mout les aime et promet et affie,Old French
Que ja ne leur faudra en trestote sa vie.,Old French
Au quint jor est meüz et Tholomer les guie;,Old French
"Tant chevauche Alixandres, qui d'aler ne s'oublie,",Old French
"Qu'il vit les tours de Tyr et la terre a choisie,",Old French
"Mes avant ot conquise la terre de Sulie,",Old French
Tant comme il en trova a mis en sa baillie.,Old French
"""Sire, ce li dist Sanses, se Dieus me beneïe,",Old French
"Quant je voi ceste terre, touz li sans me fremie,",Old French
Pour ce qu'el fu mon pere et vers moi ne soplie;,Old French
"Daires la m'a tolue par sa grant felonnie.""",Old French
"Alixandres respont: ""Or ne mescreez mie,",Old French
"Ja ne m'en tornerai s'ert en vostre baillie.""",Old French
"Cil entent la parole, en plorant l'en mercie.",Old French
Quant li roys,Old French
"choisi Tyr, mout fu liez et joians,",Old French
Les tours vit bateilliees et les murs haus et granz.,Old French
Ens en un coing de mer la ferma Tyrians;,Old French
Ce fu li premiers roys de ce regne tenans;,Old French
"Les terres d'entour lui fist a lui apendans,",Old French
"Pour lui li mist non Tyr, tant par fu redoutans,",Old French
Aprés la seue mort le leissa ses enfans;,Old French
Ce conte l'escripture que ce fu deus cens ans,Old French
Aprés que li deluiges fu par le mont courans.,Old French
"Ore est en la main Daire, qui sire est des Persans;",Old French
"De lui la tient uns dus Balés qu'en est gardans,",Old French
Qui est bons chevaliers et seürs et aidans.,Old French
"La citez est mout forte et en fort leu seans,",Old French
"De toutes pars li est la mer entour cloans,",Old French
Ne crient assaut de gent ne quarrel d'ars treans,Old French
"Ne mangoniaus dreciez ne perrieres jetans,",Old French
Touz les sieges du mont ne prise deus besans,Old French
"Fors que seul l'Alixandre, qui tant est conquerans;",Old French
Et li Grieu se logierent par plains et par pendans.,Old French
Le jor i ot tenduz paveillons ne sai quans;,Old French
"Adonques veïssiez ceus de Tyr esmaians,",Old French
Pour paour d'Alixandre pensis et couardans.,Old French
Ly rois assist,Old French
"la ville, qui nulle n'en seonne,",Old French
"Et par mer et par terre trestote l'avironne,",Old French
Mout ot en sa navie char et vin et anonne.,Old French
"De la fierté de l'ost, de la noise qui sonne,",Old French
Sont cil de la cité effreé jusqu'a nonne.,Old French
Li dus Balés parole et les siens araisonne:,Old French
"""Mout est preus Alixandres et de fiere personne,",Old French
"De la fierté de lui touz li mondes resonne,",Old French
Babyloine veut prendre et avoir Escalonne,Old French
Et conquerre par force Aufrique et Sarragonne;,Old French
"Ja ne guerra vers lui qui treü ne li donne.""",Old French
A ce mot li presentent d'or fin une coronne;,Old French
Les oevres et les pierres valurent plaine tonne,Old French
Du plus chier argent fin qui soit en Arragonne.,Old French
Li rois prist,Old French
"la coronne, qui mout fist a loër,",Old French
"Tholomer la commande por Sanson coronner,",Old French
Et dist a ceus de Tyr ques leissassent aler,Old French
En la cité leens pour les dieus aourer.,Old French
"Adonques se commence li dus a porpenser,",Old French
"La fierté Alixandre forment a redouter,",Old French
Que par force nel voeille de la cité jeter;,Old French
"Puis li dist: ""La dedens ne vous chaut a entrer,",Old French
"Car noz les vous ferons ça defors aporter.""",Old French
"""Comment, dist Alixandres, volez vous dont penser",Old French
Que je par mesprison voeille leens entrer?,Old French
"Ou m'oïstes vous onques de traïson reter?""",Old French
Alixandres ot ire si commence a jurer,Old French
Et le ciel et les nues et la terre et la mer,Old French
Sous ciel n'a homme en terre ques poïst acorder,Old French
Ne treü ne coronne encontre lui tenser;,Old French
"Aillent s'en fors de l'ost; puis les fist deffïer,",Old French
Et cil entrent en Tyr si font leur gent armer.,Old French
"Et li roys commanda quatre grelles sonner,",Old French
Pour assaillir la ville fet sa gent conraer.,Old French
Mes a eure de nonne commença a venter,Old French
Et une grant tormente merveilleuse a lever,Old French
Qui fet les nes brisier et les ondes lever,Old French
Et les barges ensamble l'une a l'autre hurter;,Old French
Et li Grieu commencierent durement a crïer,Old French
"Et les dieus touz ensamble forment a reclamer,",Old French
Car grant paor avoient li plusor d'afonder.,Old French
Alixandres commande que l'en bate la mer,Old French
Pour les ondes bessier et les flos avaler.,Old French
Oëz con,Old French
"grant merveille, par quel devision",Old French
Lor vint une semblance en guise de poisson,Old French
"Errant par mi la mer, fendant a esperon;",Old French
La guele porte ouverte a guise de dragon,Old French
"Et giete feu et flambe fierement a tençon,",Old French
Les nez et la cité aclot tout environ;,Old French
"Adont leur recommence grant tribulacion,",Old French
"Une ire, une tempeste, une confusion",Old French
"Qui leur nez achanterent, et froissent li chevron;",Old French
Par un po que ne furent cueilli li paveillon,Old French
Quant en mer se refiert a guise de plunjon;,Old French
Ainz aus hommes le roy ne fist se paor non.,Old French
Li roys ot commandé,Old French
"la mer a ledengier,",Old French
"Et li Greu i ferirent por les ondes bessier,",Old French
Adont les veïssiez durement apesier.,Old French
Cil de Tyr se commencent forment a merveillier,Old French
Et li homme Alixandre mout a esleecier.,Old French
Uns fevres de la ville voloit le jor forgier,Old French
Quarriaus de fer aguz o les pointes d'acier,Old French
"Pour les armes aus Grieus et leur cors domagier,",Old French
Aprés les refeisoit de venin entoschier.,Old French
Mes uns signes avint que il vodrent noncier,Old French
Aus hommes Alixandre pour eus bien esmaier.,Old French
Aus batailles des murs s'alerent apuier;,Old French
Uns des barons de Tyr commença a huchier:,Old French
"""Di, va, ralez vous ent, serjant et chevalier,",Old French
Paour avez eüe li plusor de noier.,Old French
C'est li dieus de la mer qui vous veut corroucier;,Old French
Ceste citez est seue si la veut chalengier;,Old French
"Nepturnus, qui elle est, vous voudra trebuschier,",Old French
"Encor vous fera pis, sel veez aïrier.",Old French
Ceens est avenue grant merveille des hier,Old French
"D'un fevre de la ville, comme il voloit forgier",Old French
"Saietes et quarriaus por voz gens domagier,",Old French
Mes li fers de sanc cler commença a raier.,Old French
"Vez le ci ou jel tieng, nel vous quier plus noier.",Old French
De ces deus aventures vous devez esmaier;,Old French
"Cueilliez voz paveillons, ralez vous ent arrier,",Old French
"Et nous vous en leron sains et saus reperier.""",Old French
"Alixandres respont: ""Ainz orrez del pleidier!",Old French
"Vous en verrez ançois cinc cens escus percier,",Old French
Et des noz et des vos maint pasmer et plaier.,Old French
Assez avons oïde tieus gens menacier,Old French
Qui mauvés cuer avoient d'un estor commencier,Old French
"Et au fouir du champ estoient li premier.""",Old French
Li roys ot ceus,Old French
"de Tyr, qui le vont menaçant",Old French
"Qu'il guerpisse le siege et si s'en aille a tant,",Old French
Et il leur respondi qu'il n'a pas cuer d'enfant:,Old French
"""Cuidiez vous que li Grieu soient ja recreant?",Old French
"Ja ne furent il onques en bataille tezant,",Old French
Mes seur toute autre gent hardi et conbatant;,Old French
Ja ne s'en torneront en trestout leur vivant,Old French
"Tant qu'avrai pris la vile et fet a mon talent.""",Old French
"Sanson a apelé si li rent par son gant,",Old French
Et cil l'a receüe de cuer en merciant.,Old French
"Alixandres ot ire si tainst de mautalent,",Old French
A ceus des murs parole si se drece en estant:,Old French
"""Di, va, mauvese gent, felon et mescreant,",Old French
Vous ne devez pas estre de la cité tenant.,Old French
"La tormente de mer, que veïstes si grant,",Old French
"Et li dieus Nepturnus, qui aloit tempestant,",Old French
"Vous fet la demostrance, et bien est aparant,",Old French
Qu'il ne veut que soiez en la cité manant,Old French
Ne si mauvese gent i soient habitant;,Old French
"Mes leissiez moi la ville, de par lui le commant,",Old French
"Trestuit vous en issiez or endroit maintenant,",Old French
Et li Greu la tendront de ce jor en avant.,Old French
"Li fers chaus que veïstes en la forge seignant,",Old French
"Ce sera uns machacres, que vous verrez si grant",Old French
Avenir desus vous ançois un mois passant,Old French
Ja n'i porra guerir li pere son enfant.,Old French
Hui verrez tant vert hiaume et tant escu luisant,Old French
Et tant hauberc blanchi et tant bon branc trenchant,Old French
Et tant bon chevalier hardi et conbatant,Old French
"Environ la cité et desriere et devant,",Old French
Lez les murs de la ville seront tuit reluisant.,Old French
"Se ne la me rendez ainz le soleil couchant,",Old French
"Tuit en serez pendu, ja n'en avrez garant.""",Old French
Lors furent cil de Tyr esmaié et pensant,Old French
Et demandent le roy un respit avenant,Old French
Tant qu'il aient parlé la dedens a lor gent.,Old French
"Alixandres respont: ""Je l'otroi et creant,",Old French
"De prendre bon conseil me vient mout a talent.""",Old French
Mes les murs de la ville vet sovent regardant.,Old French
Li dus prent,Old French
son conseil o les barons de Tyr,Old French
Et dïent d'Alixandre qu'il est de tel aïr,Old French
Que chastiaus ne cité ne le puet retenir;,Old French
"Se a lui ne se rendent, ja ne porront guerir.",Old French
"Ja preïssent conseil des Grezois recueillir,",Old French
"Se ne fust sorvenus Ladinés de Monmir,",Old French
Qui leur dist tel parole que bien peüst tezir:,Old French
"""Ceste terre est roy Daire, si l'en devon servir,",Old French
Nostre droit seignor lige ne devons pas traïr,Old French
Desci que il noz voeille et lessier et guerpir.,Old French
"Alixandres est fel et noz puet tant haïr,",Old French
"Comment qu'il ait la ville, nous en covient fouir;",Old French
Tous noz fera en mer ou en terre perir,Old French
"Et les pluseurs de nous en chaudieres boulir.""",Old French
Cist conseuls leur a fet la parolle guerpir;,Old French
"Dïent a ceus de l'ost, si quel porent ouir:",Old French
"""Grieu et Macedonois, or vous couchiez dormir,",Old French
Car d'assaillir la ville avrez mes bon loisir;,Old French
"Assez vous en porra chascun jour souvenir.""",Old French
"Quant l'entent Alixandres, d'ire prist a nercir",Old French
Et commande les Grieus fors des loges issir.,Old French
El bois de Josaphaille a fet les fus cueillir,Old French
Et aporter en l'ost et en la mer jalir.,Old French
Alixandres a,Old French
"fet mil chevaliers armer,",Old French
Et vont o ceus a pié pour les abres coper.,Old French
Du bois de Josaphaille font les fus amener,Old French
Et aporter en l'ost et couchier en la mer;,Old French
"Puis les font de deus pars a reortes coupler,",Old French
Desus vodrent la raime et l'areine jeter.,Old French
Quant voient,Old French
"cil de Tyr qu'Alixandres leur fet,",Old French
"Que la mer lor deffent et bastist son atret,",Old French
Li dus se tient a mort s'en ce point ne lor vet.,Old French
"Quant la nuis fu oscure et la brunor estet,",Old French
A petites nacelles s'en issirent a tret,Old French
"Coiement de la ville quatre, cinc, sis et set,",Old French
Et copent les reortes sanz tençon et sanz bret.,Old French
Dolans ert Alixandres quant il savra ce plet.,Old French
Ce fu bien par,Old French
"matin, quant il dut esclairier,",Old French
"Li Grieu vont a la mer lor labour commencier,",Old French
"Virent l'atret perdu et l'affetement d'ier,",Old French
Adonques ne se prisent valissant un denier.,Old French
Li roys se commença forment a corroucier,Old French
"Et maudist la cité qui le fet travaillier,",Old French
Car ne puet vers la ville nulle riens esploitier;,Old French
Avant voudra conquerre et puis la reperier.,Old French
"Lors monterent par l'ost serjant et chevalier,",Old French
A trois liues de Tir s'alerent hebergier.,Old French
Iluec fist Alixandres un chastel commencier,Old French
"Desus une montaigne, assez pres d'un gravier;",Old French
Scandalion l'apelle et sist seur un rochier;,Old French
Pour ce que li paien distrent au temps premier,Old French
"Que Scandras avoit non Alixandres d'Alier,",Old French
Si vodrent en son non le chastel batisier.,Old French
Ilueques sejornerent por leur cors aeisier.,Old French
"Une vois dist au roy, quant fu alez couchier,",Old French
Qu'il s'en retourt a Tyr por la ville assegier;,Old French
"Il la prendra mout bien, n'ait cure d'esmaier.",Old French
Lors retornent a Tyr et font lor tres fichier.,Old French
El bois de Josaphaille refont les fus trenchier,Old French
"Et aporter en l'ost et en la mer lancier,",Old French
A chaanes de fer et a bendes lïer;,Old French
"Les ont fet de deus pars sagement atachier,",Old French
Que cil dedens nes puissent mes de rien engignier;,Old French
"Mes cil de Tyr les grievent, li bon arbalestier,",Old French
"Dars leur lancent aguz et seetes d'acier,",Old French
Que li Grieu ne se pueent de la mer aprochier.,Old French
"Alixandres commande ses perrieres drecier,",Old French
De pos plains de sablon fet tant dedenz lancier,Old French
Que la mer jusqu'au mur en lesse a ondoier;,Old French
"Et li Grezois s'armerent pour les fus adrecier,",Old French
"Puis font deseure metre la pierre et le mortier,",Old French
Et furent si fondé en un seul mois entier,Old French
Qu'il porent par desus a seür chevauchier.,Old French
"D'autre part en la mer vodrent chastel drecier,",Old French
Que navie n'i viegne qui lor port a mengier.,Old French
Cil de Tyr se commencent forment a esmaier,Old French
Et sont venu au roy aus batailles pledier;,Old French
"A set jorz li prïerent de l'assaut respitier,",Old French
Tant c'uns mesages viegne qu'il doivent envoier,Old French
Au duc Betiz de Gadres ces paroles noncier;,Old French
Puis se vodront a lui bonnement apaier.,Old French
Mes il veulent le roy par itant delaier,Old French
Tant que secors venist qui lor poïst aidier.,Old French
"A set jorz li prïerent de l'assaut respitier,",Old French
Tant c'uns mesages viegne qu'il doivent envoier,Old French
Au duc Betiz de Gadres ces paroles noncier;,Old French
Puis se vodront a lui bonnement apaier.,Old French
Mes il veulent le roy par itant delaier,Old French
Tant que secors venist qui lor poïst aidier.,Old French
A set jorz li ont fet cil de l'ost otroier.,Old French
Li roys vit la,Old French
"cité, qui tant est bien assize,",Old French
"Toute est close de mer fors la porte de bise,",Old French
"Fierement la regarde, durement la felise,",Old French
Et de leens entrer a mout grant couvoitise.,Old French
Il en jure celui ou sa creance a mise,Old French
Que ja n'en tornera desci qu'il l'avra prise.,Old French
Dehors fu l'ost logiee desus l'eve de Lise;,Old French
La ot tendu maint tref de soie vert et bise;,Old French
Par la rive s'espandent s'ont la vitaille prise.,Old French
"Li dus Betiz de Gadres a la nouvelle aprise,",Old French
"Que li sires de Tyr li a par mer tramise,",Old French
Qu'assis l'a Alixandres et sa terre porprise,Old French
Et durement destruite et dampnee et aquise;,Old French
"Or li envoit l'aïde que tant li a promise,",Old French
De par le roy de Perse qui le regne justise.,Old French
"Li dus ot la nouvelle, que forment aime et prise,",Old French
Met sa main a son flanc si respont par cointise:,Old French
"""Dites le duc Balés g'irai en son servise;",Old French
"Se truis l'ost environ, targe en sera malmise;",Old French
"Onques de tant de gent ne fu si grant ocise.""",Old French
Li mes se part,Old French
"de Gadres, a Tyr vint a eslés,",Old French
Devers la mer s'en entre par la posterne a es,Old French
"Et conte les nouvelles qui leur vienent aprés,",Old French
Com li sires de Gadres mande sa gent adés.,Old French
"S'environ truevent l'ost, ja n'en iront aprés;",Old French
Aus espees d'acier en feront maint confés.,Old French
Mes li Greu ont la ville bien assize de prés,Old French
"Et la terre porprise jusqu'a la roche Alés,",Old French
Ou la mer fiert et hurte chascun jor a grant fes.,Old French
"Li roys prent ses mesages ses envoie a Balés,",Old French
"Qu'il li rende la ville, la tour et le palés,",Old French
"Et viegne a sa merci, puis avra de lui pes;",Old French
"Et se il ce refuse, sel trouverra engrés,",Old French
Que ja en son vivant ne s'en tornera mes,Old French
Desci qu'il l'avra prise et arse comme un es;,Old French
La dedens la cité lanceront feu grïés.,Old French
"Li dus voit les mesages, mout fu vers els irez,",Old French
"Et respont par ireur: ""N'ai talent que vous bes.""",Old French
"Ja les eüst penduz se ne fust Ladinés,",Old French
Uns princes de la ville qui gardoit le palés.,Old French
Li dus vit les,Old French
"mesages, de maltalent s'aïre",Old French
Et a prises les letres que li roys fist escrire;,Old French
"Connut ce qu'il ot ens, car il les sot bien lire.",Old French
Balés taint et nerci et commença a frire,Old French
Et respont par ireur qu'il n'ot talent de rire:,Old French
"""Orgueil mande Alixandres, si com je oi descrire,",Old French
Que la cité li rende et vers lui m'aille aflire;,Old French
"Et se ce ne voeil fere, si com ce brief oi dire,",Old French
Il nous prendra par force et pendra touz a tire,Old French
Ou noiera en mer ou ardra comme cire;,Old French
"Mout me tieng a mauvés se ne l'en faiz desdire,",Old French
"Se pres sui ses voisins, mestier avra de mire.""",Old French
"Et a dit a ses hommes: ""Demain fetes martire,",Old French
"Qu'il soient tuit destruit et corrouciez leur sire.""",Old French
"Et respont Ladinés: ""Dus, refraigniez vostre ire.",Old French
Mout est preus Alixandres et si a grant empire,Old French
Ne cuide que nuz hom le puisse desconfire.,Old French
"Li mes n'ont pas forfet que l'en les doie ocirre,",Old French
Mes donnez leur du vostre si les fetes conduire;,Old French
"Tant est preus Alixandres ne lera nel vous mire.""",Old French
Li dus vit les,Old French
"mesages, mout ot le cuer dolent,",Old French
Qu'Alixandres li mande tant orgueilleusement,Old French
Que la cité li rende apareillïement,Old French
"Et toute la devise, si comme a Daire apent;",Old French
"Et se ce ne veut fere et a force le prent,",Old French
Ja ne tiegnë il terre se il ne l'art ou pent.,Old French
Ja feïst les mesages presenter vers le vent,Old French
"Se ne fust Ladinés, qui li blasme et deffent",Old French
"Et conduist de la ville desci a sauvement,",Old French
Fors tant leur dit li dus et ses cuers li consent,Old French
"Que li roys n'a de lui triues n'acordement,",Old French
"Ainz li fera, s'il puet, grant domage briement.",Old French
"Li mes par mi les loges s'en vont hastivement,",Old French
"Trusqu'au tref Alixandre n'i ot arestement,",Old French
Et content la parole sanz nul amendement,Old French
Si com li dus li mande et menace et desment;,Old French
"D'euls eüst fet joutice, s'il en eüst consent.",Old French
"Quant l'entent Alixandres, d'ire eschaufe et esprent,",Old French
"Et respont par ireur: ""Or me tient il por lent?",Old French
"Touz soie je honnis se ce mot ne li vent.""",Old French
Lors fet sonner un grelle et atorner sa gent;,Old French
Ilueques veïssiez tant bon cheval courant,Old French
"Et tant escu a or et tant hiaume luisant,",Old French
De la clarté des armes touz li païs resplent.,Old French
"Et cil de la cité s'arment isnellement,",Old French
Par la porte s'en issent estroit serreement.,Old French
La gent qui ist de Tyr le rivage porprent.,Old French
Icel jor commencierent un tel tornoiement,Old French
D'ambes pars en remestrent maint chevalier sanglent,Old French
Qui regreterent puis et ami et parent.,Old French
C'est coustume de guerre et conseulz de jovent,Old French
Que l'en i pert bien tost et gaaigne souvent.,Old French
Par la porte,Old French
vers terre s'en issent cil de Tyr;,Old French
Ilueques veïssiez maint vert hiaume luisir,Old French
Et tant destrier de garde galoper et hennir,Old French
Et contre le soleil ces armes resplendir.,Old French
Li dus Balés les guie et Salos de Valmir.,Old French
"Sus Ferrant sist armez Ladinés de Monmir,",Old French
Qui ert bons chevaliers et sages sanz mentir.,Old French
"Mout par sot bien chacier et avenant fouir,",Old French
"Et quant il vient en leu, aus premerains guenchir.",Old French
"Li dus crie s'enseigne por sa gent resbaudir,",Old French
Le jour veut ceus de l'ost fierement envaïr.,Old French
Ilueques veïssiez tant fort escu croissir,Old French
Et tant vassal a terre craventer et morir;,Old French
"Qui fu aus commençailles et sains s'en pot partir,",Old French
De grant ire du ciel li poïst souvenir.,Old French
A l'assambler,Old French
des Grieus i veïssiez brisier,Old French
Tante hanste de fresne et tant escu percier,Old French
Et tant vassal a terre morir et trebuschier.,Old French
"Ce dist cil ques esma, qui bien les sot prisier,",Old French
Que cil de Tyr estoient plus de trente millier.,Old French
"Li roys fet trois batailles et serrer et rengier,",Old French
Nes volt mie de primes trop fort estoutoier,Old French
"Ne sa gent metre ensamble avant au commencier,",Old French
Car gent estoutoiee est plus male a hetier.,Old French
Tholomer commanda trois batailles premier,Old French
"Entre euls et la cité sagement envoier,",Old French
"Qu'a la porte vers terre ne puissent reperier,",Old French
Touz les veut prendre aus mains ou en la mer noier;,Old French
Par itant i vodront li Grezois gaagnier.,Old French
"Et Alixandres point Bucifal le legier,",Old French
Entre lui et le duc se vodront acointier.,Old French
Si granz cops se donnerent aus gonfanons bessier,Old French
Que les lances de fresne font ansdeus peçoier.,Old French
"Li roys s'en passa outre, qui le corage ot fier,",Old French
"Au reperier l'encontre et tint le branc d'acier,",Old French
Car de tieus aventures se sot mout bien aidier.,Old French
"Sel fiert par mi son hiaume, dont li laz erent chier,",Old French
Que trestout l'enclina sus le col du destrier.,Old French
Par mi les blanches mailles du blanc hauberc doblier,Old French
En fet le sanc issir et le blïaut moillier,Old French
Et le cheval souz lui trestout ajenoillier.,Old French
Ja au partir dou roy n'eüst soing de gibier,Old French
"Quant s'espee peçoie les le poing a or mier,",Old French
"Jouste lui s'acosta, sel courut enbrachier.",Old French
"Ja l'en menast tout pris, ne se poïst aidier,",Old French
Quant devers son escu li sordent chevalier;,Old French
"Ou li roys voeille ou non, li couvint a lessier.",Old French
"Li dus vit Alixandre,",Old French
"qui forment le le tormente,",Old French
Si l'a feru du branc que sus l'arçon l'adente.,Old French
"Il l'eüst pris ou mort a touz jorz sans atente,",Old French
"Quant des siens le sequeurent, ce m'est vis, plus de trente;",Old French
"Balés a tret le branc, de vengier ne s'alente,",Old French
Et fiert si un Grezois quel jeta de jovente.,Old French
L'espee au poing d'or fin fu si pres sa parente,Old French
Que la teste a tout l'iaume en mi le champ presente.,Old French
"De ce cop, ce m'est vis, ert s'amie dolente,",Old French
Ne cuit c'uns chevaliers eüst guieres plus gente.,Old French
"Outre s'en est passez, s'espee tint sanglente,",Old French
Perdicas abati au travers d'une sente.,Old French
"Se cil qui fist ces vers ne mesprist ou ne mente,",Old French
Ja mes Flordyonés n'eüst en lui atente,Old French
"S'Emenidus ne fust, qui li livra entente.",Old French
"O les brans s'entrassaillent, griement l'uns l'autre tente;",Old French
N'i a nul au partir si pres l'acier ne sente,Old French
Qu'a tout le plus halegre covendra metre tente;,Old French
"C'est costume de guerre, de tel marchié tel vente.",Old French
A iceste assamblee,Old French
"est mout bleciez li dus,",Old French
Forment refu navrez el cors Emenidus;,Old French
"Li sans qui ist des plaies a la terre chiet jus,",Old French
"Li escu et li hiaume tornerent a reüs,",Old French
Mout i a cops d'espees et de lances percus.,Old French
Emenidus le fiert en son hiaume desus,Old French
"Si durement du branc que tout l'eüst confus,",Old French
"Quant Balés s'en parti, qui nel pot soffrir plus,",Old French
"Et maudit les Grezois, que tel gent ne vit nus.",Old French
Perdicas saut,Old French
"en piez et a le branc nu tret,",Old French
"Du duc qui l'abati ot il vergoigne et let,",Old French
Et vit un de ses druz qui ens el champ s'estet;,Old French
"Par la regne le prist, ainz quel meïst an plet,",Old French
"Si l'a feru del branc qu'a toz jorz l'a deffet,",Old French
La cuisse a tout le pié a leissie el garet;,Old French
"Puis sailli el cheval, vers la presse se tret.",Old French
"Une lance recuevre, le destrier point a het",Old French
"Et fiert un Turïen, tant com chevaus li vet,",Old French
"Que souz la boucle a or li a son escu fret,",Old French
"Le hauberc desmaillié, le sanc en a fors tret,",Old French
"Les estriers li fet perdre, a la terre le let;",Old French
"Ançois que d'eus se parte, en a si baillis set",Old French
Que touz li plus haliegres est tornez a dehet.,Old French
"A grant bien li atornent, car le jour l'a bien fet;",Old French
Ainz nus ne l'esgarda qui envie n'en et.,Old French
Emenidus d'Arcage,Old French
et Balés sont sevré;,Old French
"Ladinés vit le duc mout durement navré,",Old French
Sus l'arçon de la selle devant tout adenté;,Old French
Tant a perdu de sanc tout a le vis troublé.,Old French
Li quens Emenidus l'ot le jor encontré;,Old French
"S'auques i esteüst, de lui eüst finé.",Old French
"D'une faisse de paille li a le cors bendé,",Old French
Jouste les tornoians l'en maine a sauveté;,Old French
"Par desrier la bataille sont au chastel torné,",Old French
"Mes n'i porent venir, car li Greu sont outré;",Old French
"Tholomer et Danz Clins furent outre passé,",Old French
En la premiere eschiele Caulus et Aristé.,Old French
"Ladinés connut l'uevre, que mal orent ovré,",Old French
Par les flans esperonne le bauçant pomelé,Old French
Et fiert si un Grejois seur son escu listé,Old French
Que sus la boucle a or li a fret et quassé;,Old French
"Et li Greus refiert lui en son escu bouclé,",Old French
"Que les lances peçoient, li tronc en sont volé;",Old French
"Des boucles des escus se sont entrehurté,",Old French
Que tuit li chandelier sont fret et desmenbré;,Old French
Si forment s'entrehurtent que tuit sont estonné.,Old French
"Les armes Ladinés ont le Greu encombré,",Old French
Les estriers li fet perdre si l'a asouviné;,Old French
Li agus de son hiaume feri en mi le pré.,Old French
"Ladinés met la main au bon branc aceré,",Old French
"Desus lui s'aresta, el vis l'eüst navré",Old French
"Se Filotes ne fust, qui mout en a pesé.",Old French
